Time [h]	Office.VentilationHeatLoad [W]
0	0
0.1666666667	0
0.3333333333	0
0.5	0
0.6666666667	0
0.8333333333	0
1	0
1.166666667	0
1.333333333	0
1.5	0
1.666666667	0
1.833333333	0
2	0
2.166666667	0
2.333333333	0
2.5	0
2.666666667	0
2.833333333	0
3	0
3.166666667	0
3.333333333	0
3.5	0
3.666666667	0
3.833333333	0
4	0
4.166666667	0
4.333333333	0
4.5	0
4.666666667	0
4.833333333	0
5	0
5.166666667	0
5.333333333	0
5.5	0
5.666666667	0
5.833333333	0
6	181.247
6.166666667	176.279
6.333333333	171.408
6.5	166.665
6.666666667	162.051
6.833333333	157.561
7	153.193
7.166666667	148.95
7.333333333	144.818
7.5	140.803
7.666666667	136.899
7.833333333	133.101
8	129.413
8.166666667	125.822
8.333333333	122.33
8.5	118.937
8.666666667	115.641
8.833333333	112.436
9	109.32
9.166666667	106.291
9.333333333	103.347
9.5	100.486
9.666666667	97.7042
9.833333333	94.9997
10	0
10.16666667	0
10.33333333	0
10.5	0
10.66666667	0
10.83333333	0
11	0
11.16666667	0
11.33333333	0
11.5	0
11.66666667	0
11.83333333	0
12	0
12.16666667	0
12.33333333	0
12.5	0
12.66666667	0
12.83333333	0
13	0
13.16666667	0
13.33333333	0
13.5	0
13.66666667	0
13.83333333	0
14	0
14.16666667	0
14.33333333	0
14.5	0
14.66666667	0
14.83333333	0
15	0
15.16666667	0
15.33333333	0
15.5	0
15.66666667	0
15.83333333	0
16	0
16.16666667	0
16.33333333	0
16.5	0
16.66666667	0
16.83333333	0
17	0
17.16666667	0
17.33333333	0
17.5	0
17.66666667	0
17.83333333	0
18	0
18.16666667	0
18.33333333	0
18.5	0
18.66666667	0
18.83333333	0
19	0
19.16666667	0
19.33333333	0
19.5	0
19.66666667	0
19.83333333	0
20	0
20.16666667	0
20.33333333	0
20.5	0
20.66666667	0
20.83333333	0
21	0
21.16666667	0
21.33333333	0
21.5	0
21.66666667	0
21.83333333	0
22	0
22.16666667	0
22.33333333	0
22.5	0
22.66666667	0
22.83333333	0
23	0
23.16666667	0
23.33333333	0
23.5	0
23.66666667	0
23.83333333	0
24	0
24.16666667	0
24.33333333	0
24.5	0
24.66666667	0
24.83333333	0
25	0
25.16666667	0
25.33333333	0
25.5	0
25.66666667	0
25.83333333	0
26	0
26.16666667	0
26.33333333	0
26.5	0
26.66666667	0
26.83333333	0
27	0
27.16666667	0
27.33333333	0
27.5	0
27.66666667	0
27.83333333	0
28	0
28.16666667	0
28.33333333	0
28.5	0
28.66666667	0
28.83333333	0
29	0
29.16666667	0
29.33333333	0
29.5	0
29.66666667	0
29.83333333	0
30	0
30.16666667	0
30.33333333	0
30.5	0
30.66666667	0
30.83333333	0
31	0
31.16666667	0
31.33333333	0
31.5	0
31.66666667	0
31.83333333	0
32	0
32.16666667	0
32.33333333	0
32.5	0
32.66666667	0
32.83333333	0
33	0
33.16666667	0
33.33333333	0
33.5	0
33.66666667	0
33.83333333	0
34	0
34.16666667	0
34.33333333	0
34.5	0
34.66666667	0
34.83333333	0
35	0
35.16666667	0
35.33333333	0
35.5	0
35.66666667	0
35.83333333	0
36	0
36.16666667	0
36.33333333	0
36.5	0
36.66666667	0
36.83333333	0
37	0
37.16666667	0
37.33333333	0
37.5	0
37.66666667	0
37.83333333	0
38	0
38.16666667	0
38.33333333	0
38.5	0
38.66666667	0
38.83333333	0
39	0
39.16666667	0
39.33333333	0
39.5	0
39.66666667	0
39.83333333	0
40	0
40.16666667	0
40.33333333	0
40.5	0
40.66666667	0
40.83333333	0
41	0
41.16666667	0
41.33333333	0
41.5	0
41.66666667	0
41.83333333	0
42	0
42.16666667	0
42.33333333	0
42.5	0
42.66666667	0
42.83333333	0
43	0
43.16666667	0
43.33333333	0
43.5	0
43.66666667	0
43.83333333	0
44	0
44.16666667	0
44.33333333	0
44.5	0
44.66666667	0
44.83333333	0
45	0
45.16666667	0
45.33333333	0
45.5	0
45.66666667	0
45.83333333	0
46	0
46.16666667	0
46.33333333	0
46.5	0
46.66666667	0
46.83333333	0
47	0
47.16666667	0
47.33333333	0
47.5	0
47.66666667	0
47.83333333	0
48	0
48.16666667	0
48.33333333	0
48.5	0
48.66666667	0
